ts_iso,ts_epoch_ms,lat,lon,sog_kn,cog_deg,gps_valid,gps_accuracy_m,wind_dir_deg,wind_calibrated,wind_calib_state,wind_net_deg,wind_range_deg,closehauled_twa_deg,closehauled_samples,downwind_twa_deg,calib_mode_on,smart_mode_on,active_boat_profile,vmg_kn,distance_traveled_m,home_active,home_bearing_deg,home_dist_m,home_rec_heading_deg,home_maneuver_needed,home_vmc_kn,home_eta_s,train_mode,competition_active,comp_leg,comp_bearing_deg,comp_dist_m,comp_rec_heading_deg,comp_maneuver_needed,comp_lap_count,comp_is_estimated,lake_dist_m,lake_dist_pct,watch_connected,operation_mode,app_role,status_text,status_level,event
14:08:55,1786795735484,46.8262614,10.5203285,2.8006734251561163,210.31924438476562,true,3.0,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,25.456657680788005,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:56,1786795736492,46.8262522,10.5203036,3.4121163572974202,288.046142578125,true,3.0,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,27.60963974924089,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:57,1786795737502,46.8262673,10.5202778,4.006679799004554,356.8293151855469,true,3.0,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,30.19268519734738,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:58,1786795738511,46.826295,10.5202761,3.604121458917618,359.61383056640625,true,3.0,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,33.27549900395663,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:59,1786795739520,46.8263023,10.5202776,2.9633420034527775,16.988752365112305,true,3.0,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,34.09520497039379,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:09:00,1786795740524,46.8263126,10.5202811,2.744915933176517,6.523955345153809,true,3.005,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,35.27106066686082,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:09:01,1786795741526,46.8263237,10.5202759,2.4328352581772803,325.766357421875,true,3.005,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,36.56717897513094,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:09:02,1786795742535,46.8263289,10.5202616,2.2215092192959784,274.4912109375,true,3.004,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,37.7992429090754,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:09:03,1786795743543,46.8263254,10.5202469,2.456717687540531,217.04721069335938,true,3.004,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,38.98341252069604,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:09:04,1786795744551,46.8263176,10.520235,2.401258888134956,254.8807830810547,true,3.005,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,40.237177563700776,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:09:05,1786795745559,46.8263186,10.5202203,1.9929271380543707,271.47674560546875,true,3.0,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,41.36108128892783,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:09:06,1786795746567,46.8263212,10.5202113,1.5078333661057948,263.91949462890625,true,3.0,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,42.104341396547504,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:09:07,1786795747576,46.8263221,10.5202036,1.1947000836453436,255.7137908935547,true,3.0,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,42.104341396547504,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:09:08,1786795748586,46.8263224,10.5201968,1.2560089937753676,247.6890106201172,true,3.0,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,42.104341396547504,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:09:09,1786795749595,46.8263207,10.5201906,1.098539496888399,249.19699096679688,true,3.0,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,42.104341396547504,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:09:10,1786795750601,46.8263206,10.5201801,1.2366110081970692,262.6142272949219,true,3.0,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,42.104341396547504,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:09:11,1786795751610,46.8263274,10.5201678,1.527427969720602,24.914772033691406,true,3.0,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,42.104341396547504,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:09:12,1786795752617,46.8263355,10.5201786,1.8717713820269106,15.27440357208252,true,3.0,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,43.32350926508785,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:09:13,1786795753625,46.8263454,10.5201844,1.8851554278273581,2.430898427963257,true,3.016,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,44.50948762865202,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:09:14,1786795754634,46.8263615,10.5201985,2.1949700712661744,33.640499114990234,true,3.048,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,46.59652501445214,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
